,index,SHIPPING_LOCATION,DEPARTMENT,CATEGORY,SUBCATEGORY,BREADCRUMBS,SKU,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRICE_CURRENT,PRODUCT_SIZE,PROMOTION,RunDate,tid
TRUE,45748,66062,Snacks,Healthy Snacks,,Snacks/Healthy Snacks,13033145,https://www.walmart.com/ip/Great-Value-Dried-Cherries-Sweetened-5-oz/13033145?fulfillmentIntent=Pickup,"Great Value Dried Cherries, Sweetened, 5 oz",Great Value,3.28,3.28,5,,9/11/2022 21:20,16209552
TRUE,46498,75052,Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",21905151,https://www.walmart.com/ip/Margherita-Sliced-Hard-Salami/21905151?fulfillmentIntent=Pickup,Margherita Sliced Hard Salami,Margherita,7.46,7.46,,,9/11/2022 21:20,16210302
TRUE,47248,53215,Candy,Multipacks & bags,,Candy/Multipacks & bags,413457075,https://www.walmart.com/ip/Halloween-Ring-Pop-Individually-Wrapped-Assorted-24-Count/413457075?fulfillmentIntent=Pickup,Halloween Ring Pop Individually Wrapped Assorted 24 Count,Ring Pop,5.28,5.28,,,9/11/2022 21:20,16211052
TRUE,47998,90650,Deli,Prepared Meals & Sides,,Deli/Prepared Meals & Sides,579824441,https://www.walmart.com/ip/Marketside-Pepperoni-Pizza-Traditional-Crust-Extra-Large-44-6-oz-Fresh/579824441?fulfillmentIntent=Pickup,"Marketside Pepperoni Pizza, Traditional Crust, Extra Large, 44.6 oz (Fresh)",Marketside,7.5,7.5,44.6,,9/11/2022 21:20,16211802
TRUE,48748,53215,Beverages,Sports Drinks,,Beverages/Sports Drinks,687285897,https://www.walmart.com/ip/Gatorade-G-Zero-Sugar-Orange-Thirst-Quencher-Sports-Drink-12-oz-12-Pack-Bottles/687285897?fulfillmentIntent=Pickup,"Gatorade G Zero Sugar Orange Thirst Quencher Sports Drink, 12 oz, 12 Pack Bottles",Gatorade,6.98,6.98,12,,9/11/2022 21:20,16212552
TRUE,49498,90650,Dairy & Eggs,Cheese,,Dairy & Eggs/Cheese,155066735,https://www.walmart.com/ip/Great-Value-Deli-Style-Sliced-Pepper-Jack-Cheese-8-oz-12-count/155066735?fulfillmentIntent=Pickup,"Great Value Deli Style Sliced Pepper Jack Cheese, 8 oz, 12 count",Great Value,2.22,2.22,8,,9/11/2022 21:20,16213302
TRUE,50248,75052,Deli,Deli Meat & Cheese,,Deli/Deli Meat & Cheese,757601165,https://www.walmart.com/ip/Pepperoni-Pillow-Pack-6oz/757601165?fulfillmentIntent=Pickup,"Pepperoni Pillow Pack, 6oz.",Dietz & Watson,3.97,3.97,6,,9/11/2022 21:20,16214052
TRUE,50998,78130,Candy,Multipacks & bags,,Candy/Multipacks & bags,384988681,https://www.walmart.com/ip/HERSHEY-S-and-REESE-S-Nut-Lover-s-Chocolate-Assortment-Candy-Bulk-Candy-31-5-oz-Bag/384988681?fulfillmentIntent=Pickup,"HERSHEY'S and REESE'S, Nut Lover's Chocolate Assortment Candy, Bulk Candy, 31.5 oz, Bag",Hershey's,11.98,11.98,31.5,,9/11/2022 21:20,16214802
TRUE,51748,85225,Dairy & Eggs,Cheese,,Dairy & Eggs/Cheese,128256220,https://www.walmart.com/ip/Great-Value-Gluten-Free-Shredded-Extra-Sharp-Cheddar-Cheese-8-Oz/128256220?fulfillmentIntent=Pickup,"Great Value Gluten Free Shredded Extra Sharp Cheddar Cheese, 8 Oz",Great Value,2.22,2.22,8,,9/11/2022 21:20,16215552
TRUE,52498,30044,Baking,Flours & Meals,,Baking/Flours & Meals,34787721,https://www.walmart.com/ip/Kentucky-Kernel-Gluten-Free-Seasoned-Flour-10-oz/34787721?fulfillmentIntent=Pickup,"Kentucky Kernel Gluten Free Seasoned Flour, 10 oz",Kentucky Kernel,3.3,3.3,10,,9/11/2022 21:20,16216302
TRUE,53248,70072,Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",34632371,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-15-oz-8-Ct/34632371?fulfillmentIntent=Pickup,"Ball Park Classic Bun Size Hot Dogs, 15 oz, 8 Ct",Ball Park,3.62,3.62,15,,9/11/2022 21:20,16217052
TRUE,53998,72034,Beverages,Great Value Beverages,,Beverages/Great Value Beverages,792669480,https://www.walmart.com/ip/Great-Value-Pineapple-100-Juice-64-fl-oz/792669480?fulfillmentIntent=Pickup,"Great Value Pineapple 100% Juice, 64 fl oz",Great Value,3.78,3.78,64,,9/11/2022 21:20,16217802
TRUE,54748,75052,Deli,Snacks & Fresh Sandwiches,,Deli/Snacks & Fresh Sandwiches,685633516,https://www.walmart.com/ip/ParmCrisps-Spicy-Queso-Real-Cheese-Oven-Baked-Parm-Crisp-Snack-1-75-oz/685633516?fulfillmentIntent=Pickup&athbdg=L1300,"ParmCrisps Spicy Queso Real Cheese Oven-Baked Parm Crisp Snack, 1.75 oz.",That's How We Roll,3.78,3.38,1.75,,9/11/2022 21:20,16218552
TRUE,55498,78130,Snacks,Granola Bars,,Snacks/Granola Bars,10311393,https://www.walmart.com/ip/Nature-Valley-Crunchy-Granola-Bars-Peanut-Butter-8-94-oz-6-ct-12-bars/10311393?fulfillmentIntent=Pickup,"Nature Valley Crunchy Granola Bars, Peanut Butter, 8.94 oz, 6 ct, 12 bars",Nature Valley,3.38,3.38,8.94,,9/11/2022 21:20,16219302
TRUE,56248,45011,Deli,Specialty Cheeses & Meats,,Deli/Specialty Cheeses & Meats,10308511,https://www.walmart.com/ip/President-Cheese-Pub-Cheese-Sharp-Cheddar-Spreadable-Cheese-8-oz/10308511?fulfillmentIntent=Pickup,"President Cheese Pub Cheese Sharp Cheddar Spreadable Cheese, 8 oz",President Cheese,4.27,4.27,8,,9/11/2022 21:20,16220052
TRUE,56998,70072,Deli,Deli Meat & Cheese,,Deli/Deli Meat & Cheese,186368201,https://www.walmart.com/ip/Land-O-Lakes-White-Deli-American-Cheese-Product/186368201?fulfillmentIntent=Pickup&athbdg=L1600,Land O Lakes White Deli American Cheese Product,Land O'Lakes,8.24,8.24,,,9/11/2022 21:20,16220802
