utc,product_name,store_section,category,subcategory,labels,nutriscore,nova_group,allergens,diet_tags,image_url,price,x,y
37600295383,Mild Thick & Chunky Salsa,Dips,Dips,Dips,"Kosher,Orthodox Union Kosher",c,3.0,,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/760/029/5383/front_en.9.400.jpg,3.99,10,13
37600334648,PB Bites,Spreads,Spreads,Plant Based Spreads,,e,4.0,,"en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/760/033/4648/front_en.6.400.jpg,4.99,16,5
37600392655,Mild fiesta salsa con queso,Dips,Dips,Dips,,d,4.0,,"en:may-contain-palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/760/039/2655/front_en.12.400.jpg,3.99,10,13
37600397995,Thick & chunky salsa,Dips,Dips,Dips,,c,4.0,,"en:palm-oil-free,en:maybe-vegan,en:maybe-vegetarian",https://images.openfoodfacts.org/images/products/003/760/039/7995/front_fr.3.400.jpg,3.99,10,13
37600459419,"Restaurant Style Salsa, Medium",Dips,Dips,Dips,,b,3.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/760/045/9419/front_en.5.400.jpg,3.99,10,13
37600698221,Homestyle Guacamole,Dips,Dips,Dips,"Kosher,Orthodox Union Kosher",a,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/760/069/8221/front_en.10.400.jpg,3.99,10,13
37600807463,Hash,Canned Food,Canned Foods,Canned Meals,,c,4.0,,"en:palm-oil-free,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/760/080/7463/front_en.3.400.jpg,1.79,7,25
37600819404,Skippy Creamy Peanut Butter Packet,Spreads,Spreads,Plant Based Spreads,No preservatives,c,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/760/081/9404/front_en.9.400.jpg,4.99,16,5
37600826631,"Fiesta style roasted tomato, medium",Dips,Dips,Dips,,c,3.0,,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/760/082/6631/front_en.4.400.jpg,3.99,10,13
37600880879,Homel foods inc,Spreads,Spreads,Plant Based Spreads,No preservatives,c,4.0,"en:peanuts,en:soybeans","en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/760/088/0879/front_en.3.400.jpg,4.99,16,5
37600880954,Skippy Protein crey peanut butter,Spreads,Spreads,Plant Based Spreads,,c,4.0,,"en:may-contain-palm-oil,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/760/088/0954/front_en.9.400.jpg,4.99,16,5
37695160344,"Cakebites, Classic Italian Rainbow",Cakes,Cakes,Cakes,,e,4.0,en:milk,"en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/769/516/0344/front_en.5.400.jpg,4.99,13,35
37695178905,The original cakebites new york style crumb cake,Cakes,Cakes,Cakes,,e,4.0,"en:eggs,en:gluten,en:milk","en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/769/517/8905/front_en.4.400.jpg,4.99,13,35
37695185354,Cakebites sweet lemon layers cakebites,Cakes,Cakes,Cakes,,e,4.0,"en:eggs,en:gluten,en:milk","en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/769/518/5354/front_en.5.400.jpg,4.99,13,35
37798520304,White Rabbit Creamy Candy,Candies,Candies,Candies,,e,4.0,,"en:palm-oil-free,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/779/852/0304/front_en.3.400.jpg,2.49,7,19
37842096823,Shallots,Vegetables,Fresh Vegetables,Fresh Shallots,,unknown,,,,https://images.openfoodfacts.org/images/products/003/784/209/6823/front_en.4.400.jpg,1.99,7,35
38000000102,Special k protein bars chocolate peanut butter,Bars,Bars,Cereal Bars,,e,4.0,"en:milk,en:peanuts,en:soybeans","en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/800/000/0102/front_en.6.400.jpg,2.49,7,19
38000000119,Protein meal bars,Bars,Bars,Cereal Bars,,d,4.0,,"en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/800/000/0119/front_en.10.400.jpg,2.49,7,19
38000007200,Treats original crispy marshmallow mini squares,Cakes,Cakes,Cakes,,e,4.0,"en:milk,en:soybeans","en:may-contain-palm-oil,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/800/000/7200/front_en.4.400.jpg,4.99,13,35
38000007316,Rice Krispies Treats Original,Cakes,Cakes,Cakes,,e,4.0,"en:milk,en:soybeans","en:may-contain-palm-oil,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/800/000/7316/front_en.19.400.jpg,4.99,13,35
38000007354,Kellogg'S Special K Cereal Bars Cashew Pretzel 1.79Oz,Bars,Bars,Cereal Bars,,e,4.0,"en:gluten,en:milk,en:nuts,en:peanuts","en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/800/000/7354/front_en.4.400.jpg,2.49,7,19
38000051999,french toaster sticks,Cakes,Cakes,Cakes,,c,4.0,"en:eggs,en:gluten,en:milk,en:soybeans","en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/800/005/1999/front_en.25.400.jpg,4.99,13,35
38000070105,Kellogg s,Baking Mixes,Baking Mixes,Cooking Helpers,,a,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/800/007/0105/front_en.15.400.jpg,3.99,4,28
38000077814,Rice Krispies Treats Original,Cakes,Cakes,Cakes,,e,4.0,"en:milk,en:soybeans","en:may-contain-palm-oil,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/800/007/7814/front_en.22.400.jpg,4.99,13,35
38000101632,"Flatbread Bacon, Egg, & Cheese Sandwich",Cakes,Cakes,Cakes,,d,4.0,"en:gluten,en:milk","en:may-contain-palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/800/010/1632/front_en.4.400.jpg,4.99,13,35
38000110542,Rice Krispies Treats,Cakes,Cakes,Cakes,,d,4.0,"en:milk,en:soybeans","en:may-contain-palm-oil,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/800/011/0542/front_en.5.400.jpg,4.99,13,35
38000120343,Rice Krispies- M&M minis,Bars,Bars,Cereal Bars,,e,4.0,"en:milk,en:soybeans","en:may-contain-palm-oil,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/800/012/0343/front_en.9.400.jpg,2.49,7,19
38000121746,Rice Krispies Treats Original Mini Squares,Cakes,Cakes,Cakes,,e,4.0,"en:milk,en:soybeans","en:may-contain-palm-oil,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/800/012/1746/front_en.15.400.jpg,4.99,13,35
38000121753,Rice Krispies Treats,Cakes,Cakes,Cakes,,e,4.0,"en:milk,en:soybeans","en:may-contain-palm-oil,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/800/012/1753/front_en.55.400.jpg,4.99,13,35
38000122040,Rice Krispies Treats Squares Original,Bars,Bars,Cereal Bars,,e,4.0,"en:milk,en:soybeans","en:may-contain-palm-oil,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/800/012/2040/front_en.14.400.jpg,2.49,7,19
38000124211,Kellogg'S Special K Cereal Bars Red Berries .88Oz,Bars,Bars,Cereal Bars,fr:Entrepreneurs + Engagés,d,4.0,"en:gluten,en:milk,en:soybeans","en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/800/012/4211/front_en.11.400.jpg,2.49,7,19
38000124266,Kellogg'S Special K Cereal Bars Salted Pretzel Chocolate .88Oz,Bars,Bars,Cereal Bars,,e,4.0,en:milk,"en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/800/012/4266/front_en.4.400.jpg,2.49,7,19
38000124938,CHOCOLATEY CHIP COOKIE DOUGH PROTEIN MEAL BARS,Bars,Bars,Cereal Bars,,e,4.0,"en:milk,en:soybeans","en:palm-oil,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/800/012/4938/front_en.15.400.jpg,2.49,7,19
38000126710,"Rice Krispies Treats Crispy marshmallow squares, the original",Cakes,Cakes,Cakes,,e,4.0,"en:gelatin,en:milk,en:soybeans","en:may-contain-palm-oil,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/800/012/6710/front_en.3.400.jpg,4.99,13,35
38000129353,Kellogg'S Special K Cereal Bars Cranberry Almond 1.16Oz,Bars,Bars,Cereal Bars,No gluten,d,4.0,"en:nuts,en:peanuts","en:palm-oil-free,en:non-vegan,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/800/012/9353/front_en.4.400.jpg,2.49,7,19
