utc,product_name,department,price,quantity,ingredients,allergens,categories,labels,nutriscore,nova_group,diet_tags
034000444649,Dark chocolate coconut,Candy,3.48,8,,,,,unknown,,
040000564010,Snickers Almond Brownie & Dark Chocolate,Candy,1.14,10,,,,,unknown,,
011115224274,Vegetable Oil Spread,Dairy & Eggs,4.12,6,"purified water, soybean oil, palm kernel and palm oil, salt, lecithin (soy), mono and diglycerides, vinegar, natural and artificial flavor, vitamin a palmitate, beta carotene (color).","en:gluten,en:soybeans","Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines","Sustainable, No gluten, Sustainable Palm Oil, No cholesterol",d,4,"['en:palm-oil', 'en:maybe-vegan', 'en:maybe-vegetarian']"
037600085298,Roast Beef & Mashed Potatoes with Gravy,Deli,2.24,6,"Rehydrated potatoes (water, potatoes, mono - and diglycerides, sodium acid pyrophosphate, citric acid), beef (beef, water, salt), beef stock, contains 2% or less of water, modified cornstarch, yeast extract, mushroom extract (mushrooms, maltodextrin), potassium chloride, flavoring, salt, spices, sugar, rice flour, caramel color, sodium bisulfite, seasoning (maltodextrin, natural flavoring [contains soybean], ascorbic acid [to help protect flavor]).",en:soybeans,Meals,,c,4,"['en:may-contain-palm-oil', 'en:non-vegan', 'en:non-vegetarian']"
022000280282,Gummies flavors candy,Candy,3.78,6,"corn syrup, sugar, water, modified corn starch, gelatin, less than 2% of: citric acid, natural and artificial flavors, mineral oil, colors (red 40, yellow 5, blue 1), carnauba wax,",,"Snacks, Sweet snacks, Confectioneries, Candies",,e,4,"['en:palm-oil-free', 'en:non-vegan', 'en:non-vegetarian']"
034000018727,Hershey's Nuggets,Candy,4.34,5,"sugar, chocolate, cocoa butter, cocoa processed with alkali, milk fat, lecithin, PGPR, natural flavor",,,,unknown,4,"['en:palm-oil-free', 'en:non-vegan', 'en:maybe-vegetarian']"
036632036438,Raspberry Smoothies,Dairy & Eggs,3.18,9,"Cultured grade a low fat milk, water, sugar, contains less than 1% of modified corn starch, whey mineral complex, natural flavors, pectin, agar agar, fruit juice and vegetable juice (for color), malic acid, potassium sorbate (to maintain freshness), vitamin d3, sodium citrate.",,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts","No GMOs, Non GMO project",b,4,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
644209004027,Epic,Baking,5.98,10,,,,,unknown,,
857065007013,Whole Milk,Dairy & Eggs,3.17,9,"GRADE A UHT WHOLE MILK, VITAMIN D3.",,"Dairies, Milks, Whole milks",No preservatives,b,1,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
028400184793,,Snacks,3.68,5,"dried potatoes, corn starch, corn oil, sugar, soy lecithin, salt, dextrose, and annatto extracts. contains soy ingredients. frito-lay, inc. plano, tx 75024-4099 2021 frito-lay",,,,unknown,4,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
078742194028,"Naturally hickory smoked bacon, hickory smoked",Deli,6.53,9,"Pork cured with: water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite.",,"Meats and their products, Meats, Prepared meats, en:sliced-bacon",en:no-gluten,e,3,"['en:palm-oil-free', 'en:non-vegan', 'en:non-vegetarian']"
072904000097,Meyenberg goat milk,Beverages,12.94,10,"Whole goat milk, vitamin d3",,"dairy,goat milk powders,milk powders","No gluten, Kosher, Contains dairy, en:no-artificial-flavors",unknown,1,"['en:palm-oil-free', 'en:non-vegan', 'en:maybe-vegetarian']"
051000169839,Promegranate Blueberry 100 % Juice,Beverages,3.54,5,"vegetable juice fitered water and concentrated juices of serving size 8 fl. oz. (240ml) carrots), fruit juice (filtered water and concentrated juices of apples, white about & servings per container sweet potatoes, purple carrots grapes, blueberries, pomegranates malic acid, vitamin c imount per serving calories 10o natural flavoring, (ascorbic acid) beta carotene.",,Blueberry juices,,d,4,"['en:may-contain-palm-oil', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
044000030476,"Nabisco, better cheddars, baked snack crackers, original imp",Snacks,3.28,7,"Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), soybean oil, cheddar cheese (cultured milk, salt, enzymes), salt, autolyzed yeast extract, leavening (baking soda and/or yeast), paprika, spices, annatto extract (vegetable color), malted barley flour.",en:gluten,"snacks, salty-snacks, appetizers, da:crackers",,unknown,3,"['en:palm-oil-free', 'en:non-vegan', 'en:vegetarian-status-unknown']"
016000161139,No Bake Cookie Dough Bites Cookies & Cream,Baking,3.63,7,,,,en:orthodox-union-kosher,unknown,,
850003766775,Variety Pack Sugar Free,Beverages,3.78,7,"malic acid, tartaric acid, aspartame, natural and artificial flavor, maltodextrin, acesulfame potassium, blue 1, silicon dioxide, citric acid, maltodextrin, sodium citrate, natural and artificial flavor, aspartame, red 40, acesulfame potassium, silicon dioxide",,,,unknown,4,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
078742014951,Butterscotch Discs,Candy,0.98,6,"sugar, corn syrup, salt, artificial flavor, artificial colors (yellow 5, yellow 6, red 40, blue 1).",,,,unknown,4,"['en:palm-oil-free', 'en:maybe-vegan', 'en:maybe-vegetarian']"
865372000009,Hot Honey,Baking,10.47,8,"HONEY, CHILI PEPPERS, VINEGAR.",,"Breakfasts,Spreads,Sweet spreads,Bee products,Sweeteners,Honey-based preparations,Hot honey",,e,3,"['en:palm-oil-free', 'en:non-vegan', 'en:vegetarian']"
078742366920,Natural smoke flavored almonds with other natural flavors,Snacks,6.23,5,,,,,unknown,,
078742043364,Coffee Creamer French Vanilla,Dairy & Eggs,4.68,5,"water, sugar, partially hydrogenated soybean and cottonseed oil and less than 2% of natural and artificial flavors, sodium caseinate (a milk derivative*), dipotassium phosphate, polysorbate 60, mono and diglycerides, color added, sodium stearoyl lactylate, carrageenan, *not a source of lactose,",en:milk,"Plant-based foods and beverages, Dairy substitutes, Milk substitutes, Creamer",No cholesterol,d,4,"['en:may-contain-palm-oil', 'en:non-vegan', 'en:vegetarian-status-unknown']"
041420065774,Sour Bursting Crawlers,Candy,1.68,6,,,"Snacks, Sweet snacks, Confectioneries, Candies, Snacks  sweet-snacks",,e,,
034000941070,Kit kat duo Strawberry Dark Chocolate king size,Candy,1.88,6,"sugar, vegetable oil (palm oil, shea oil, sunflower oil, palm kernel oil, &/or safflower oil), chocolate, wheat flour, skim milk, corn syrup solids lactose (milk), cocoa butter, contains 2% or less of cocoa processed with alkali, milk fat, lecithin (soy), natural & artificial flavor, artificial color (red 40 lake), pgpr, salt, yeast, baking soda.

contains: milk, wheat, soy.","en:milk,en:soybeans",,,unknown,4,"['en:palm-oil', 'en:non-vegan', 'en:vegetarian-status-unknown']"
